,AssignmentId,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,story,recAgnPairId,recImgPairId,memType
0,32UTUBMZ7HIWVWZV4QK361LZ7B2VB8,0.4298753632186879,"[-0.0699907449575571, 0.5920419692993164, -0.2563524776034885, 0.36651611328125, -0.06222866743038862, 0.43289146925273697, 1.634375, 0.24596430063247682, 0.287646484375, 0.5068169796105587, 0.4453396797180176, 0.3322298526763916, 1.0303480360243056, 0.768406832659686, 0.10282666755445076, 0.52117431640625]","[-68.28058624267578, -43.27355194091797, -33.770371437072754, -48.637115478515625, -121.57181549072266, -87.18272304534912, -29.4140625, -98.42351484298706, -74.084228515625, -97.32496643066406, -95.16732788085938, -123.423095703125, -57.7467041015625, -69.24362516403198, -132.20108032226562, -63.3475341796875]","[-66.4608268737793, -52.74622344970703, -29.15602684020996, -56.700469970703125, -119.1448974609375, -103.63259887695312, -45.7578125, -108.26208686828613, -82.713623046875, -114.0499267578125, -109.41819763183594, -139.3701286315918, -76.29296875, -89.9906096458435, -135.5943603515625, -76.37689208984375]","I've read the full four book lonesome dove series and I consider it to be among the finest of the great western classics. I've also seen the numerous depictions in film of McMurtry's stories. I first discovered the adventures of Call and McCrae in my freshman year of high school. My new girlfriend at the time (who considered herself a bit of a cowgirl) was obsessed with the series. She wasn't exaggerating to say she'd tried her hand at being a cowboy; she once joined an old fashioned cattle drive that took a herd of livestock from idaho to montana by horse. She was so taken by the series and it's characters that she even had her bicep tattooed with a full half-sleeve of McCrae rearing back on a horse. It was quite good work and I was quite jealous. I wouldn't mind going back to visit some of the timeless characters in those novels, they really do hold up in their unflinching depiction of the old american west, blemishes and all. Some of the most profound things I took from the stories were the details surrounding the cultures of the various native american tribes the cowboys encounter along the journeys. It's very interesting to know how the comanches and apaches were so desperately feared, and some other tribes simply were not as their way of life was much different. It also doesn't surprise me that plains native americans would be so tough and willing to fight to defend themselves given the overall harsh environment of north and west texas. One of the most striking moments in the series is when the long time adversary of Call and McCrae, the former chief of the comanches, is on his death-bed and seeks a personal journey to die alone and apart from his tribe. The cowboys have fought him for decades and want nothing but vengeance but they never get it. Instead the reader is treated to a profound moment of acceptance from an incredibly strong-willed man as he ushers himself from his world. It is truly one of my favorite books and having grown up in Texas, I some sense of pride imagining that events as romantic if at time brutal  probably took place. It makes me feel at the very least that Texas is as unique a state as we Texans would like to believe and often proclaim.",,30X31N5D64CBKUDZ4HF203HMQFJASZ,imagined
1,3QEMNNSB2YLNZ3WJ0O8TVDTXERTD79,0.8295105150253005,"[-0.07699819711538461, -0.08253987630208333, 0.4362336888032801, 1.0134349009569954, 0.7067192925347222, 1.8856956481933593, 0.8514404296875, 0.41824776785714285, 0.8115793863932291, 1.8193684895833333, 1.9398295084635417, 0.8532976422991071, 1.0418212890625, 0.29464285714285715, 0.8668551974826388, 0.6378974914550781, 0.6841532389322916]","[-21.69287109375, -37.469482421875, -10.042374610900879, -27.97142243385315, -26.8485107421875, -18.20943832397461, -66.16015625, -22.77734375, -15.250030517578125, -44.43212890625, -31.7371826171875, -32.012451171875, -30.270263671875, -30.546875, -22.031494140625, -54.16461181640625, -33.3870849609375]","[-20.69189453125, -36.47900390625, -17.45834732055664, -45.19981575012207, -33.208984375, -46.494873046875, -86.5947265625, -25.705078125, -24.988983154296875, -71.72265625, -55.01513671875, -43.9586181640625, -40.6884765625, -32.609375, -29.83319091796875, -64.3709716796875, -41.596923828125]","I finished a book I have been reading for the last few days.  It was a western which is outside of my normal book choices.  It was titled ""Lonesome Dove"" and was written by Larry McMurtry.   ""Lonesome Dove"" is the name of a near ghost town in south Texas.  The two main characters are Gus and McCall.  They are aging ex-Texas Rangers that decide to go on one last adventure.  They decide to steal some cattle from Mexico and start a ranch in the northern U.S.  I think it as Montana.  The book had very rich character development.  There were good guys, bad guys, and in-between guys.  On of the major villains is the a really bad guy name ""Blue Duck"".  One of the in-between is a girl/woman named Lori.  She is a ""lady of the night"" but sweet just the same.  Gus and McCall are kind of the good guys.  The scenery and imagery are very rich.  It is very colorful in terms of the language.  You need to remember this book and maybe get other books written by McMurtry.  I really miss this book -- it seemed like an old friend.",30X31N5D64CBKUDZ4HF203HMQFJASZ,,retold
2,30X31N5D64CBKUDZ4HF203HMQFJASZ,0.8008340020241241,"[-0.12033358487215909, 0.6032541063096788, 0.18711053757440477, 1.4437904357910156, 0.7487727078524503, 1.4651988636363635, 0.8662122090657552, 1.0126302083333334, 0.7323226928710938, 1.7033549206597465, 0.49733705873842593, 0.3326982657114665, 0.11586507161458333, 0.34078840775923297, 1.5364100138346355, 0.7373153602375704, 0.6324355181525735, 1.5798492431640625]","[-53.3076171875, -46.92115020751953, -72.2159423828125, -19.212745666503906, -31.891712188720703, -45.754638671875, -46.40906524658203, -31.560546875, -31.556060791015625, -31.98914122581482, -51.35699462890625, -19.247328758239746, -30.836181640625, -29.567031860351562, -30.066009521484375, -81.94217252731323, -61.2105712890625, -24.8572998046875]","[-50.6602783203125, -57.77972412109375, -76.145263671875, -27.87548828125, -48.36471176147461, -77.989013671875, -62.000885009765625, -46.75, -46.2025146484375, -55.83611011505127, -64.78509521484375, -23.239707946777344, -32.2265625, -33.315704345703125, -48.5029296875, -107.01089477539062, -82.71337890625, -37.49609375]","I know it may sound silly but it was quite emotional to finish what I now consider to be my favorite book.  It is difficult to even come up with a single favorite book but I did in this case. I liked it so much , maybe because at 59, I am aging and related well to the characters.  I am also a Texan.  Lonesome Dove is about two aging ex-Texas Rangers that feel the need to have one last great adventure.  This last adventure takes the form of a cattle drive from south Texas north to Montana (if memory serves me well).  There are many other characters involved with different backgrounds that could very well have books of their own.  The adventures abound and there really isn't a dull moment in the entire book.  Larry McMurtry excels at character development to the point that I felt as though I knew them.  He also excels at plots and sub-plots that are very compelling. While it isn't ""War and Peace"" long, it is a rather long book but I wished it was longer when I finished it.  I was very sad when I finished reading Lonesome Dove.  It was like losing a playmate, maybe even a friend.  I wondered what I was going to do for reading next.  I ended up researching similar books written by Larry McMurtry.  I did find other similar books that were written about the western United State at around the same time period but it just didn't match the colorful characters in Lonesome Dove. Maybe it was because I was born in the panhandle of Texas, my dad was a real cowboy and I could relate better to many of the things mentioned in the book.  As such the others paled in comparison.",30X31N5D64CBKUDZ4HF203HMQFJASZ,30X31N5D64CBKUDZ4HF203HMQFJASZ,recalled
3,33JKGHPFYDGF6IUJTOOLA02GPM3MNS,0.5190458164496067,"[-0.21351706981658936, 0.8816805752840909, 0.7218692302703857, 0.6578097873263888, 0.25587142141241775, 0.5612404563210227, 0.4284107066966869, 0.6915083433452406, 0.6203781127929687, 0.727156929347826, 0.296551513671875, 0.2736335754394531, 0.25157470703125, 1.0111658432904411, 0.63846869128091, 0.5329132080078125, 0.7340833875868056, 0.2866082442434211, 0.5044628490101207]","[-45.468308448791504, -23.25390625, -66.46521759033203, -33.214111328125, -68.07846069335938, -40.412353515625, -70.28434371948242, -63.16924285888672, -38.767669677734375, -31.9462890625, -50.27532958984375, -19.11053466796875, -63.36260986328125, -28.2486572265625, -68.24883735179901, -31.391395568847656, -45.9427490234375, -38.24853515625, -57.334434509277344]","[-39.91686463356018, -32.952392578125, -89.56503295898438, -45.0546875, -77.80157470703125, -52.7596435546875, -81.85143280029297, -89.44655990600586, -51.17523193359375, -48.6708984375, -59.171875, -21.84687042236328, -69.6519775390625, -45.4384765625, -90.59524154663086, -40.45092010498047, -59.15625, -43.694091796875, -68.4326171875]","About 6 months ago, I decided to learn more about the art of food foraging and how it could be beneficial to me. I started by searching the internet for anything I could find. I was surprised at how much you could learn and how complex it could be but I didn't let it scare me; I continued in my quest to learn more. I was intrigued by just how many wild foods there were out there available for us to eat. It made me realize that people aren't using the natural resources we have and that there are a lot of things that are going to waste just because we don't know it's available to us. After a week of doing extensive research, I decided to go on a hunt and see exactly what I could find. I drove about an hour away to a location that was plentiful of forest and wildlife that I thought would suit me for my foraging needs. As I walked through the woods, I stumbled upon things I had not recognized from my research, so I had to use my best judgement about whether or not this was something that could be edible. I found a patch of wild berries that looked good so I decided to try my luck and eat one. They were very sweet and did not have a bitter taste, so I ate a few more before continuing on my way. Further on my travels, I saw some wild plants so I decided to pick them and take them home with me to see what I could do with them. This was turning out to be quite the interesting adventure. I heard a rustling noise behind me so I abruptly looked over my shoulder and realized that I had entered someone else's territory. Instead of seeing a person like I expected, I saw a beautiful deer standing behind me. It didn't run away like I thought, but just looked at me inquisitively, stopped to take in the sights and smells of nature, and then slowly walked away. At that moment, I thought to myself, people and animals aren't all that different. We are all here for the same reason; survival and to try and protect what is ours. As it started getting dark, I figured it was time to pack up and take my findings home. My stomach was feeling a little bit queasy and I was hoping it wasn't the berries I ate from earlier!",,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,imagined
4,3PQ8K71NHY67KYR5NHTBF3NG8C4AA5,0.7438761237630476,"[-0.1449652777777778, 0.6055636935763888, 0.08783318014705882, 0.9116443452380952, 0.660727280836839, 1.3375901442307692, 0.6477288140190972, 0.6659228515625, 1.1732370476973684, 0.8848211115056818, 0.5637921785053454, 1.6846788194444444, 1.0455875396728516, 0.9145071847098214, 0.4066840277777778, 0.4566650390625]","[-36.42578125, -37.567626953125, -38.2998046875, -44.9864501953125, -61.09941101074219, -28.146484375, -42.43939208984375, -49.6243896484375, -55.29248046875, -56.140625, -26.45538330078125, -12.189453125, -40.48992919921875, -34.037353515625, -38.31640625, -28.32275390625]","[-35.12109375, -48.4677734375, -39.79296875, -64.1309814453125, -78.2783203125, -45.53515625, -54.0985107421875, -66.2724609375, -77.583984375, -75.606689453125, -37.16743469238281, -27.3515625, -57.219329833984375, -46.8404541015625, -45.63671875, -33.802734375]","I have stumbled across something new to me lately. Foraging for food in the landscape around me is a real thing and I can do it. I started thinking about the plants around me when I saw a foraging video on YouTube. A teacher was showing students about all of the edible plants in a park that happens to be near my house. I was interested in the video as I have alot of experience with gardening and it dawned upon me that I could do this too. I started looking up plants online and watching other videos about plant identification. I started slowly by looking for one single type of plant and trying to identify it multiple times. After I was confident that I could identify the plant, I ate a couple of leaves just to test out the effects of it. I would wait a day and when nothing happened negative, I became more confident in my id's. I ate more the next time and continued to find out as much as I could about the plants habitat and features. Immersing myself in one plant at a time has been a great way to expand my knowledge. Now I can identify many plants in my area. I know the leaves, fruits, colors and features of a number of edible plants. This has given me a food source other than buying food from the grocery. It's amazing to see something all around you that was always there but you never saw before. I am very glad to have stumbled upon this field of knowledge.",31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,,retold
5,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,0.9168955243630208,"[-0.0009789100060096155, 1.2394670758928572, 0.6384613037109375, 0.44150724865141366, 0.047540838068181816, 0.7165771484375, 0.006526402064732143, 0.7518717447916666, 1.7780517578125, 0.5881355725801908, 0.2408447265625, 1.793310546875, 3.8388671875, 1.4936288197835286, 0.6048177083333334, 0.49169921875]","[-24.455810546875, -10.12841796875, -25.560791015625, -58.21589660644531, -29.07470703125, -21.48046875, -65.55548095703125, -29.947265625, -24.53173828125, -21.77092456817627, -41.3917236328125, -10.306884765625, -10.12890625, -21.289588928222656, -13.0, -18.8251953125]","[-24.443084716796875, -18.8046875, -38.33001708984375, -67.487548828125, -29.59765625, -28.646240234375, -65.69253540039062, -38.9697265625, -42.312255859375, -29.41668701171875, -44.041015625, -19.2734375, -25.484375, -39.213134765625, -16.62890625, -23.25048828125]","About 6 months ago I learned how to forage for food. It has been an eye opening experience. I had no idea that there was so much food all around us that we simply pass by every day. It is kind of shocking to learn that there is so much plenty all around and yet we live in deprivation. I learned about it after I watched a video on it. It really opened my eyes and showed me something new. I did a bunch of reading and research which prepared me to go into the parks around me and find things. There is lots of food in the local parks in big cities. There is even stuff growing in the sidewalk planters. Things we call ""weeds"" are actually nutritious and delicious plants. I have grown alot since I woke up to all this. My horizons have expanded. My consciousness has increased. My self-reliance and self-trust has gone up. It has been a great experience. I would not trade what I learned for anything.",31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,recalled
6,3DI28L7YXB0EGNVH73240LK4LCA1E7,0.8510258999474498,"[0.15283203125, 0.17411723889802633, 0.1801544189453125, 0.11989113136574074, 1.7622331891741072, 1.4670597956730769, 0.4957220894949777, 0.49599671363830566, 0.6653263257897418, 0.6104498969184028, 0.2818319147283381, 0.8048719323199728, 1.0204391479492188, 1.11328125, 2.774169921875, 2.06298828125, 0.2860750198364258]","[-9.5078125, -42.2227783203125, -52.07977294921875, -66.905517578125, -23.3160400390625, -10.06201171875, -40.1348876953125, -24.95009994506836, -42.11888122558594, -54.26226806640625, -41.51869201660156, -46.4752197265625, -19.097305297851562, -11.734375, -3.7158203125, -10.068359375, -31.905517578125]","[-10.119140625, -45.531005859375, -55.682861328125, -70.142578125, -47.9873046875, -29.1337890625, -54.015106201171875, -32.88604736328125, -57.42138671875, -65.2503662109375, -47.718994140625, -64.98727416992188, -29.30169677734375, -16.1875, -14.8125, -18.3203125, -37.627017974853516]","Our honeymoon was fantastic. It was not your typical honeymoon, we spent our honeymoon acting like kids, and it was great. We spent a large majority of our time riding our favorite rides, and just pretending we were children again. We decided on our first honeymoon trip was  going to Six Flags in Atlanta, Georgia, since it was where we had our first date. We rode almost all of the rides, and re-lived our first date. After Six flags, we went to Disney world in Orlando, Florida. It was our first time there, and we were a bit overwhelmed with all of the rides and activities there, but we had a great time. While in Orlando, we stumbled upon another theme park, which was a water park. To be honest, we had more fun at the water park than we did at Orlando, we were there for hours! Our next and last trip was in Chattanooga Tennessee, where we stumbled upon two other theme parks. One was definitely one of the smallest ones we have been to, but it had a lot of charm to it. The last one we went to, was a very massive one, almost the size of the Disney world one in Orlando. I think our last theme park was the best one. The rides were fantastic. The food was amazing. The prices were reasonable. After it was all said and done, we were very happy with our decisions and had a fantastic time.",,324G5B4FB4UT0JVPOCKYG69DUP1072,imagined
7,30X31N5D64CBKUDZ4HF203HNG3USAW,1.1395932296803433,"[-0.22993607954545456, 1.2077544362921464, -0.033050537109375, 0.4495364918428309, 2.137451171875, 0.9491649974476207, 2.0782642364501953, 2.8579177856445312, 2.4423819482326508, 0.7403564453125, 1.0910213694852942, 1.2479209899902344, 1.1106185150146484, 0.7857610453730044, 1.49462890625, 1.4550752639770508, 1.3556267233455883, 0.7048867267111073, 0.33041272844587055, 0.6160714285714286]","[-19.10009765625, -14.214775085449219, -66.08184814453125, -43.718292236328125, -13.178466796875, -46.65238380432129, -16.211532592773438, -7.28118896484375, -14.152354121208191, -31.3447265625, -26.20361328125, -23.42047119140625, -35.26261329650879, -40.0394344329834, -10.458984375, -26.07254409790039, -38.817626953125, -43.27027130126953, -37.61491394042969, -45.0634765625]","[-16.57080078125, -37.162109375, -65.28863525390625, -51.36041259765625, -28.140625, -67.53401374816895, -32.837646484375, -30.14453125, -43.4609375, -46.15185546875, -44.7509765625, -43.38720703125, -63.028076171875, -58.1119384765625, -16.4375, -43.533447265625, -61.86328125, -59.482666015625, -42.240692138671875, -53.6884765625]","My wife and I were married in October 2018. However, because of our schedules, we couldn't go on our honeymoon until June 2019. Prior to the honeymoon I had some very important work due, and I was really looking forward to the time to have fun. We both love theme parks, and so our honeymoon was to visit six new theme parks. We started at Holiday World in Indiana. They had amazing roller coasters, including one named Voyage, that is now in my top five of all time. They also had tons of great water rides. After that, we went to Kentucky Kingdom. It was a small park, but had some nice coasters. Unfortunately, it was 100 degrees and humid, and for some reason the water park wasn't open. Because of this, we left really early to get to our next destination, Dollywood. Sadly, we had to cancel the visit to Dollywood because of a huge storm. Instead, we continued on to Carowinds, and got to ride Fury 325, which is now my second favorite coaster. We spent two days in Charlotte, where Carowinds is, and then headed to Virginia to go to Kings Dominion. The park was amazing. We both loved intimidator 305 and Twisted Timbers. After this, we headed to Philadelphia to enjoy the city itself, with no theme parks. Our final stop was in Toronto, where we enjoyed the city, and a great theme park, called Canada's Wonderland. The most memorable part of the Honeymoon was probably the first park. It was so good and we had the rush of the vacation just beginning.",324G5B4FB4UT0JVPOCKYG69DUP1072,,retold
8,324G5B4FB4UT0JVPOCKYG69DUP1072,1.3364736610043837,"[0.15106201171875, 1.4405462091619319, 1.2084309895833334, 0.9424176897321429, 0.9893235426682693, 1.0364117622375488, 1.025, 1.5300762469951923, 1.9274125532670454, 1.4869159249698414, 1.9600125826322115, 0.5659266880580357, 2.4834467569986978, 0.9845572577582465, 1.475311279296875, 1.6888020833333333, 1.0277923583984374, 0.7486431415264423, 1.205322265625, 0.32059288024902344, 0.9551003196022727, 2.1189439561631946, 3.466845703125]","[-27.32470703125, -24.72674560546875, -27.95556640625, -11.913818359375, -24.3126220703125, -31.175930976867676, -12.1328125, -30.7379150390625, -7.2491455078125, -24.143190383911133, -15.05657958984375, -46.2449951171875, -6.856719970703125, -55.31950378417969, -27.353759765625, -16.44921875, -56.506591796875, -30.1251220703125, -12.1318359375, -34.755828857421875, -21.205810546875, -13.67462158203125, -12.94287109375]","[-29.137451171875, -40.57275390625, -46.08203125, -18.5107421875, -37.173828125, -53.97698974609375, -17.2578125, -50.62890625, -28.45068359375, -49.42076110839844, -40.5367431640625, -54.16796875, -36.6580810546875, -73.04153442382812, -39.15625, -31.6484375, -77.06243896484375, -39.85748291015625, -16.953125, -39.88531494140625, -31.7119140625, -32.7451171875, -47.611328125]","My wife and I went on our honeymoon about three month ago. It was a road trip visiting various cities and amusement parks. We chose this because we both love rollercoasters and it fit our budget. We were both very excited about it. In total, we visited 5 parks and 3 major cities. We were supposed to visit 6 parks, but one day got rained out and we had to skip it. Our trip started in Ohio. The first park was called holiday world and was in Santa Clause Indiana. Next, we went to Kentucky Kingdom in Louisville, Kentucky. After this, we were supposed to go to Dollywood, but the rain canceled it. Our next park was Carowinds, just outside Charlotte North Carolina. We were there long enough for a day in the park and the city. After this, we went to Kings Dominion in Doswell Virginia. They have a coaster that pulls so many G's everyone blacks out or gets close to it. After a day here, we visited Philadelphia. We spent a night and day in the city. We toured around the sites and ate plenty of Cheesesteaks and Dinic's roasted pork sandwiches. Our final stop was Toronto and Canada's Wonderland just outside the city. We spent three days. This was we made sure to take in as much as the city had to offer. We also stopped on the way there to see Niagara Falls. I had never seen it from the Canadian side. It was way more impressive than from the American side.",324G5B4FB4UT0JVPOCKYG69DUP1072,324G5B4FB4UT0JVPOCKYG69DUP1072,recalled
9,3ZOTGHDK5JX0MY70E0KK1Y1RH1POSQ,0.28059868980433283,"[-0.31328125, -0.30118052164713544, 0.9060872395833334, 0.1211700439453125, -0.12418619791666667, 0.5079427083333333, 0.7670169406467013, 0.9419706662495931, 0.025206716437088817, 0.22725310149016203, 0.1689792209201389, -0.09384300595238096, 0.23532867431640625, 0.22740260532924106, 0.36555626278831843, 0.86143798828125, 0.24731653386896307]","[-16.78515625, -19.474945068359375, -10.9873046875, -41.47705078125, -33.19091796875, -33.064453125, -79.17921447753906, -60.03633499145508, -45.681121826171875, -51.2999267578125, -40.7474365234375, -47.6845703125, -45.17230224609375, -65.61927795410156, -46.88267517089844, -32.607421875, -15.371803283691406]","[-15.21875, -15.86077880859375, -16.423828125, -44.3851318359375, -31.328125, -40.68359375, -99.888671875, -82.64363098144531, -46.16004943847656, -57.435760498046875, -43.7890625, -45.7138671875, -50.8201904296875, -73.578369140625, -54.559356689453125, -49.836181640625, -18.09228515625]","My heart is utterly broken. Two months ago in May, my sister-in-law passed away. It was sudden and very tragic. She was driving home from work in the rain when she lost control of her car and get into an accident on the interstate. It feels like I was just talking to her and planning our next get together. We'd planned to go to a concert with my brother and sister in July. I didn't like the artist that we were going see, but it was for her birthday that we'd missed doing something for in February. She had been waiting to go that concert for years but hadn't been able to because our work schedules didn't line up. I considered my sister-in-law as much one of my actual siblings as my brother and sister are. She'd been there for my wife and I through some hard times and was always willing to lend a hand to help us with the children. I can't believe that she's gone and I know that it's tougher on my wife. This is a very tragic time for both of our families, because she was really a light in our lives. My family is pulling through as best we can and are making sure that we are there for each other in this trying time. The funeral was difficult, but it was attended by so many people and my sister-in-law would've really been happy to know how many lives she touched when she was still here. I think that if anything good can come out of this is that we'll be more of a bonded family. We know that's what she would've wanted us to do and we'll honor her in this way. But I don't think I'll ever stop missing her.",,324G5B4FB4UT0JVPOCKYG69DW6870G,imagined
