1,42,"""THE BOYFRIEND"" in bold white text fades in on a black screen before fading out "
1,42,"The letters of ""high maintenance"" appear in the center of the screen one by one in white text. A simple jingle plays in the background"
2,43,View of the back of a man's head. He's sitting at a table across from a woman and eating dinner. The woman looks at the man
2,43,View of the man over the woman's shoulder. He's looking down at his plate and cutting something with his knife and fork
2,43,Close up of the woman's face. She's looking down and chewing something
2,43,Close up of the man's face. He's also looking down and chewing
2,43,Side view of the woman's face. She uses her fork to eat something before looking up
2,43,Side view of the man's face. He eats a bite while looking down
3,44,The woman stands up and grabs a bottle of wine to her side. She walks over to the man 
3,44,"The woman begins to pour wine for the man, but he covers his glass with his hand"
3,44,"The man, without looking up says ""not for me dear"" and continues eating"
3,44,"The woman sits back down and glances at the man before saying ""you know it's our anniversary"""
4,45,"The man stops eating and looks at the woman, saying ""you know I can't drink wine or alcohol"" before starting to eat again"
4,45,"The woman picks up her wine glass and downs it in a few gulps while looking at the man. When she finishes, she sighs and looks at the man pointedly. "
4,45,"The woman sets down her wine glass with a ""clink"" sound. She smiles, sighs and then pours more wine for herself. "
4,45,"The man says ""the asparagus is very tender"""
5,46,"The woman replies ""oh yeah"". The man continues to eat without looking up"
5,46,"Side view of the woman's face. She says ""They say it's an aphrodisiac"" while looking at the man"
5,46,"Side view of the man's face. He looks up and asks ""Who does?"""
5,46,"The woman replies ""Oh, I don't know. People. That's just what people say"" while eating another bite of food"
5,46,The man continues to look down and not say anything. The woman glances up at the man but doesn't say anything
6,47,"The man looks up and says ""So dear, how was your day?"""
6,47,"The woman, furious, gets up and says ""Oh geez. Shut up and have a drink!"" as she throws her glass of wine at the man. "
6,47,"The woman sits down, agitated and says ""You're a computer analyst, not a fucking surgeon! Why can't you, I don't know, relax for once in your life?!"" "
7,48,The man takes something out of his pocket
7,48,"The woman says angrily ""Oh don't you dare"""
7,48,"The man, with wine still on his face puts a cigarette in his mouth and starts to smoke. The woman stands up and says ""Don't you dare smoke in my house!"""
