,AssignmentId,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,story,recAgnPairId,recImgPairId,memType
0,32UTUBMZ7HIWVWZV4QK361LZ7B2VB8,0.37171224620453397,"[-0.0699907449575571, 0.5920419692993164, -0.2563524776034885, 0.41803741455078125, -0.16666568853916267, 0.2360380072342722, 1.3484375, 0.14745478630065917, 0.09961751302083334, 0.4473331335819129, 0.5168598294258118, 0.33393430709838867, 0.9580620659722222, 0.7609300171887433, 0.2063580137310606, 0.37530029296875]","[-68.28058624267578, -43.27355194091797, -33.770371437072754, -47.50364685058594, -125.64485931396484, -94.66315460205078, -32.2734375, -102.36389541625977, -79.72509765625, -99.28793334960938, -92.87868309020996, -123.34128189086914, -59.0478515625, -69.44549918174744, -128.7845458984375, -66.994384765625]","[-66.4608268737793, -52.74622344970703, -29.15602684020996, -56.700469970703125, -119.1448974609375, -103.63259887695312, -45.7578125, -108.26208686828613, -82.713623046875, -114.0499267578125, -109.41819763183594, -139.3701286315918, -76.29296875, -89.9906096458435, -135.5943603515625, -76.37689208984375]","I've read the full four book lonesome dove series and I consider it to be among the finest of the great western classics. I've also seen the numerous depictions in film of McMurtry's stories. I first discovered the adventures of Call and McCrae in my freshman year of high school. My new girlfriend at the time (who considered herself a bit of a cowgirl) was obsessed with the series. She wasn't exaggerating to say she'd tried her hand at being a cowboy; she once joined an old fashioned cattle drive that took a herd of livestock from idaho to montana by horse. She was so taken by the series and it's characters that she even had her bicep tattooed with a full half-sleeve of McCrae rearing back on a horse. It was quite good work and I was quite jealous. I wouldn't mind going back to visit some of the timeless characters in those novels, they really do hold up in their unflinching depiction of the old american west, blemishes and all. Some of the most profound things I took from the stories were the details surrounding the cultures of the various native american tribes the cowboys encounter along the journeys. It's very interesting to know how the comanches and apaches were so desperately feared, and some other tribes simply were not as their way of life was much different. It also doesn't surprise me that plains native americans would be so tough and willing to fight to defend themselves given the overall harsh environment of north and west texas. One of the most striking moments in the series is when the long time adversary of Call and McCrae, the former chief of the comanches, is on his death-bed and seeks a personal journey to die alone and apart from his tribe. The cowboys have fought him for decades and want nothing but vengeance but they never get it. Instead the reader is treated to a profound moment of acceptance from an incredibly strong-willed man as he ushers himself from his world. It is truly one of my favorite books and having grown up in Texas, I some sense of pride imagining that events as romantic if at time brutal  probably took place. It makes me feel at the very least that Texas is as unique a state as we Texans would like to believe and often proclaim.",,30X31N5D64CBKUDZ4HF203HMQFJASZ,imagined
1,3QEMNNSB2YLNZ3WJ0O8TVDTXERTD79,0.6668478132841966,"[-0.07699819711538461, -0.08253987630208333, 0.4362336888032801, 1.0870337065528421, 0.7173122829861112, 1.801738484700521, 0.5021769205729166, 0.3295200892857143, 0.5810216267903646, 0.34430338541666666, 1.7811991373697917, 0.7511771065848214, 0.9302490234375, 0.5345982142857143, 0.583648681640625, 0.41736412048339844, 0.6983744303385416]","[-21.69287109375, -37.469482421875, -10.042374610900879, -26.720242738723755, -26.753173828125, -19.468795776367188, -74.54248046875, -23.3984375, -18.0167236328125, -66.55810546875, -33.6407470703125, -33.442138671875, -31.385986328125, -28.8671875, -24.580352783203125, -57.693145751953125, -33.2164306640625]","[-20.69189453125, -36.47900390625, -17.45834732055664, -45.19981575012207, -33.208984375, -46.494873046875, -86.5947265625, -25.705078125, -24.988983154296875, -71.72265625, -55.01513671875, -43.9586181640625, -40.6884765625, -32.609375, -29.83319091796875, -64.3709716796875, -41.596923828125]","I finished a book I have been reading for the last few days.  It was a western which is outside of my normal book choices.  It was titled ""Lonesome Dove"" and was written by Larry McMurtry.   ""Lonesome Dove"" is the name of a near ghost town in south Texas.  The two main characters are Gus and McCall.  They are aging ex-Texas Rangers that decide to go on one last adventure.  They decide to steal some cattle from Mexico and start a ranch in the northern U.S.  I think it as Montana.  The book had very rich character development.  There were good guys, bad guys, and in-between guys.  On of the major villains is the a really bad guy name ""Blue Duck"".  One of the in-between is a girl/woman named Lori.  She is a ""lady of the night"" but sweet just the same.  Gus and McCall are kind of the good guys.  The scenery and imagery are very rich.  It is very colorful in terms of the language.  You need to remember this book and maybe get other books written by McMurtry.  I really miss this book -- it seemed like an old friend.",30X31N5D64CBKUDZ4HF203HMQFJASZ,,retold
2,30X31N5D64CBKUDZ4HF203HMQFJASZ,0.675075802360077,"[-0.12033358487215909, 0.6032541063096788, 0.18711053757440477, 1.6480560302734375, 0.6662387847900391, 1.4558993252840908, 0.9260855780707465, 0.79853515625, 0.18265380859375, 1.6224306992122106, 0.4110672562210648, 0.0012710094451904297, 0.09822591145833333, 0.3699250654740767, 0.5293477376302084, 0.497129103716682, 0.6814503389246324, 1.593017578125]","[-53.3076171875, -46.92115020751953, -72.2159423828125, -17.987152099609375, -33.70745849609375, -45.959228515625, -45.33134460449219, -34.77197265625, -42.5494384765625, -33.12208032608032, -53.686279296875, -23.22445583343506, -31.0478515625, -29.24652862548828, -42.1507568359375, -90.10850524902344, -59.5440673828125, -24.751953125]","[-50.6602783203125, -57.77972412109375, -76.145263671875, -27.87548828125, -48.36471176147461, -77.989013671875, -62.000885009765625, -46.75, -46.2025146484375, -55.83611011505127, -64.78509521484375, -23.239707946777344, -32.2265625, -33.315704345703125, -48.5029296875, -107.01089477539062, -82.71337890625, -37.49609375]","I know it may sound silly but it was quite emotional to finish what I now consider to be my favorite book.  It is difficult to even come up with a single favorite book but I did in this case. I liked it so much , maybe because at 59, I am aging and related well to the characters.  I am also a Texan.  Lonesome Dove is about two aging ex-Texas Rangers that feel the need to have one last great adventure.  This last adventure takes the form of a cattle drive from south Texas north to Montana (if memory serves me well).  There are many other characters involved with different backgrounds that could very well have books of their own.  The adventures abound and there really isn't a dull moment in the entire book.  Larry McMurtry excels at character development to the point that I felt as though I knew them.  He also excels at plots and sub-plots that are very compelling. While it isn't ""War and Peace"" long, it is a rather long book but I wished it was longer when I finished it.  I was very sad when I finished reading Lonesome Dove.  It was like losing a playmate, maybe even a friend.  I wondered what I was going to do for reading next.  I ended up researching similar books written by Larry McMurtry.  I did find other similar books that were written about the western United State at around the same time period but it just didn't match the colorful characters in Lonesome Dove. Maybe it was because I was born in the panhandle of Texas, my dad was a real cowboy and I could relate better to many of the things mentioned in the book.  As such the others paled in comparison.",30X31N5D64CBKUDZ4HF203HMQFJASZ,30X31N5D64CBKUDZ4HF203HMQFJASZ,recalled
3,33JKGHPFYDGF6IUJTOOLA02GPM3MNS,0.4751676986840368,"[-0.21351706981658936, 0.8816805752840909, 0.7218692302703857, 0.5029161241319444, 0.20557232906943873, 0.2819435813210227, 0.3278268884729456, 0.6422049873753598, 0.6084182739257813, 0.7944229789402174, 0.279571533203125, 0.29697418212890625, 0.2228564453125, 0.9282047047334558, 0.6351452418736049, 0.4604330623851103, 0.5697157118055556, 0.2677451685855263, 0.6142023259943182]","[-45.468308448791504, -23.25390625, -66.46521759033203, -36.002197265625, -69.98982620239258, -46.556884765625, -73.00010681152344, -65.04277038574219, -39.006866455078125, -30.399169921875, -50.78472900390625, -18.87712860107422, -64.08056640625, -29.65899658203125, -68.36515808105469, -32.623558044433594, -48.9013671875, -38.60693359375, -54.920166015625]","[-39.91686463356018, -32.952392578125, -89.56503295898438, -45.0546875, -77.80157470703125, -52.7596435546875, -81.85143280029297, -89.44655990600586, -51.17523193359375, -48.6708984375, -59.171875, -21.84687042236328, -69.6519775390625, -45.4384765625, -90.59524154663086, -40.45092010498047, -59.15625, -43.694091796875, -68.4326171875]","About 6 months ago, I decided to learn more about the art of food foraging and how it could be beneficial to me. I started by searching the internet for anything I could find. I was surprised at how much you could learn and how complex it could be but I didn't let it scare me; I continued in my quest to learn more. I was intrigued by just how many wild foods there were out there available for us to eat. It made me realize that people aren't using the natural resources we have and that there are a lot of things that are going to waste just because we don't know it's available to us. After a week of doing extensive research, I decided to go on a hunt and see exactly what I could find. I drove about an hour away to a location that was plentiful of forest and wildlife that I thought would suit me for my foraging needs. As I walked through the woods, I stumbled upon things I had not recognized from my research, so I had to use my best judgement about whether or not this was something that could be edible. I found a patch of wild berries that looked good so I decided to try my luck and eat one. They were very sweet and did not have a bitter taste, so I ate a few more before continuing on my way. Further on my travels, I saw some wild plants so I decided to pick them and take them home with me to see what I could do with them. This was turning out to be quite the interesting adventure. I heard a rustling noise behind me so I abruptly looked over my shoulder and realized that I had entered someone else's territory. Instead of seeing a person like I expected, I saw a beautiful deer standing behind me. It didn't run away like I thought, but just looked at me inquisitively, stopped to take in the sights and smells of nature, and then slowly walked away. At that moment, I thought to myself, people and animals aren't all that different. We are all here for the same reason; survival and to try and protect what is ours. As it started getting dark, I figured it was time to pack up and take my findings home. My stomach was feeling a little bit queasy and I was hoping it wasn't the berries I ate from earlier!",,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,imagined
4,3PQ8K71NHY67KYR5NHTBF3NG8C4AA5,0.6655427405811476,"[-0.1449652777777778, 0.6055636935763888, 0.08783318014705882, 0.8776186988467262, 0.5691821758563702, 1.1458082932692308, 0.5688408745659722, 0.2679541015625, 0.97900390625, 0.8816028941761364, 0.46063553659539475, 1.4175347222222223, 0.9351940155029297, 1.091766357421875, 0.3984375, 0.5066731770833334]","[-36.42578125, -37.567626953125, -38.2998046875, -45.70098876953125, -63.479583740234375, -30.6396484375, -43.859375, -59.5736083984375, -58.98291015625, -56.21142578125, -28.415359497070312, -14.59375, -42.2562255859375, -31.55572509765625, -38.46484375, -27.72265625]","[-35.12109375, -48.4677734375, -39.79296875, -64.1309814453125, -78.2783203125, -45.53515625, -54.0985107421875, -66.2724609375, -77.583984375, -75.606689453125, -37.16743469238281, -27.3515625, -57.219329833984375, -46.8404541015625, -45.63671875, -33.802734375]","I have stumbled across something new to me lately. Foraging for food in the landscape around me is a real thing and I can do it. I started thinking about the plants around me when I saw a foraging video on YouTube. A teacher was showing students about all of the edible plants in a park that happens to be near my house. I was interested in the video as I have alot of experience with gardening and it dawned upon me that I could do this too. I started looking up plants online and watching other videos about plant identification. I started slowly by looking for one single type of plant and trying to identify it multiple times. After I was confident that I could identify the plant, I ate a couple of leaves just to test out the effects of it. I would wait a day and when nothing happened negative, I became more confident in my id's. I ate more the next time and continued to find out as much as I could about the plants habitat and features. Immersing myself in one plant at a time has been a great way to expand my knowledge. Now I can identify many plants in my area. I know the leaves, fruits, colors and features of a number of edible plants. This has given me a food source other than buying food from the grocery. It's amazing to see something all around you that was always there but you never saw before. I am very glad to have stumbled upon this field of knowledge.",31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,,retold
5,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,0.9134619318892443,"[-0.0009789100060096155, 1.2394670758928572, 0.6384613037109375, 0.5040726434616816, 0.05379971590909091, 0.8590576171875, 0.013667515345982142, 0.578125, 1.82999267578125, 0.6610234333918645, 0.2842684659090909, 1.63115234375, 3.91455078125, 1.104504903157552, 0.849609375, 0.4546169704861111]","[-24.455810546875, -10.12841796875, -25.560791015625, -56.90202331542969, -29.005859375, -20.0556640625, -65.405517578125, -32.0322265625, -24.0123291015625, -20.82338237762451, -40.9140625, -11.11767578125, -9.826171875, -25.959075927734375, -11.53125, -19.158935546875]","[-24.443084716796875, -18.8046875, -38.33001708984375, -67.487548828125, -29.59765625, -28.646240234375, -65.69253540039062, -38.9697265625, -42.312255859375, -29.41668701171875, -44.041015625, -19.2734375, -25.484375, -39.213134765625, -16.62890625, -23.25048828125]","About 6 months ago I learned how to forage for food. It has been an eye opening experience. I had no idea that there was so much food all around us that we simply pass by every day. It is kind of shocking to learn that there is so much plenty all around and yet we live in deprivation. I learned about it after I watched a video on it. It really opened my eyes and showed me something new. I did a bunch of reading and research which prepared me to go into the parks around me and find things. There is lots of food in the local parks in big cities. There is even stuff growing in the sidewalk planters. Things we call ""weeds"" are actually nutritious and delicious plants. I have grown alot since I woke up to all this. My horizons have expanded. My consciousness has increased. My self-reliance and self-trust has gone up. It has been a great experience. I would not trade what I learned for anything.",31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,recalled
6,3DI28L7YXB0EGNVH73240LK4LCA1E7,0.7935348016376408,"[0.15283203125, 0.17411723889802633, 0.1801544189453125, 0.05274341724537037, 1.5179704938616072, 1.32958984375, 0.518448965890067, 0.32388782501220703, 0.7230224609375, 0.5185309516059028, 0.24332497336647727, 0.5368851371433424, 0.9322311401367187, 1.29833984375, 2.7508544921875, 1.88623046875, 0.35092792510986326]","[-9.5078125, -42.2227783203125, -52.07977294921875, -68.718505859375, -26.7357177734375, -11.84912109375, -39.49853515625, -27.703842163085938, -40.7918701171875, -55.91680908203125, -42.3658447265625, -52.638916015625, -19.979385375976562, -10.994140625, -3.80908203125, -10.775390625, -30.60845947265625]","[-10.119140625, -45.531005859375, -55.682861328125, -70.142578125, -47.9873046875, -29.1337890625, -54.015106201171875, -32.88604736328125, -57.42138671875, -65.2503662109375, -47.718994140625, -64.98727416992188, -29.30169677734375, -16.1875, -14.8125, -18.3203125, -37.627017974853516]","Our honeymoon was fantastic. It was not your typical honeymoon, we spent our honeymoon acting like kids, and it was great. We spent a large majority of our time riding our favorite rides, and just pretending we were children again. We decided on our first honeymoon trip was  going to Six Flags in Atlanta, Georgia, since it was where we had our first date. We rode almost all of the rides, and re-lived our first date. After Six flags, we went to Disney world in Orlando, Florida. It was our first time there, and we were a bit overwhelmed with all of the rides and activities there, but we had a great time. While in Orlando, we stumbled upon another theme park, which was a water park. To be honest, we had more fun at the water park than we did at Orlando, we were there for hours! Our next and last trip was in Chattanooga Tennessee, where we stumbled upon two other theme parks. One was definitely one of the smallest ones we have been to, but it had a lot of charm to it. The last one we went to, was a very massive one, almost the size of the Disney world one in Orlando. I think our last theme park was the best one. The rides were fantastic. The food was amazing. The prices were reasonable. After it was all said and done, we were very happy with our decisions and had a fantastic time.",,324G5B4FB4UT0JVPOCKYG69DUP1072,imagined
7,30X31N5D64CBKUDZ4HF203HNG3USAW,0.9979358374375529,"[-0.22993607954545456, 1.2077544362921464, -0.033050537109375, 0.39195969525505514, 2.0250941685267856, 0.9118569439107721, 2.2260093688964844, 2.55108642578125, 1.9555635849634807, 0.65772705078125, 0.6114573759191176, 1.2835235595703125, 0.3057058715820313, 0.6280071424401324, 1.94921875, 1.2206103006998699, 0.5930032169117647, 0.5616634203040082, 0.4794921875, 0.6619698660714286]","[-19.10009765625, -14.214775085449219, -66.08184814453125, -44.69709777832031, -13.9649658203125, -47.47316098213196, -15.029571533203125, -9.73583984375, -19.994174480438232, -32.997314453125, -34.356201171875, -22.850830078125, -55.38542938232422, -43.66777420043945, -8.640625, -28.886123657226562, -51.7822265625, -46.56440734863281, -35.527801513671875, -44.4208984375]","[-16.57080078125, -37.162109375, -65.28863525390625, -51.36041259765625, -28.140625, -67.53401374816895, -32.837646484375, -30.14453125, -43.4609375, -46.15185546875, -44.7509765625, -43.38720703125, -63.028076171875, -58.1119384765625, -16.4375, -43.533447265625, -61.86328125, -59.482666015625, -42.240692138671875, -53.6884765625]","My wife and I were married in October 2018. However, because of our schedules, we couldn't go on our honeymoon until June 2019. Prior to the honeymoon I had some very important work due, and I was really looking forward to the time to have fun. We both love theme parks, and so our honeymoon was to visit six new theme parks. We started at Holiday World in Indiana. They had amazing roller coasters, including one named Voyage, that is now in my top five of all time. They also had tons of great water rides. After that, we went to Kentucky Kingdom. It was a small park, but had some nice coasters. Unfortunately, it was 100 degrees and humid, and for some reason the water park wasn't open. Because of this, we left really early to get to our next destination, Dollywood. Sadly, we had to cancel the visit to Dollywood because of a huge storm. Instead, we continued on to Carowinds, and got to ride Fury 325, which is now my second favorite coaster. We spent two days in Charlotte, where Carowinds is, and then headed to Virginia to go to Kings Dominion. The park was amazing. We both loved intimidator 305 and Twisted Timbers. After this, we headed to Philadelphia to enjoy the city itself, with no theme parks. Our final stop was in Toronto, where we enjoyed the city, and a great theme park, called Canada's Wonderland. The most memorable part of the Honeymoon was probably the first park. It was so good and we had the rush of the vacation just beginning.",324G5B4FB4UT0JVPOCKYG69DUP1072,,retold
8,324G5B4FB4UT0JVPOCKYG69DUP1072,1.0892041942701298,"[0.15106201171875, 1.4405462091619319, 1.2084309895833334, 0.8240792410714286, 0.5003756009615384, 1.0128071958368474, 0.61171875, 1.1902418870192308, 1.6027277166193181, 1.0694741641773897, 1.1642291729266827, 1.0681675502232142, 1.776995340983073, 1.0365431043836806, 0.9423828125, 1.0818142361111112, 0.989447021484375, 0.22683011568509615, 0.813232421875, 0.28874778747558594, 0.7023259943181818, 2.0359429253472223, 3.31357421875]","[-27.32470703125, -24.72674560546875, -27.95556640625, -12.7421875, -30.6689453125, -31.695231437683105, -14.19921875, -35.15576171875, -10.8206787109375, -31.239700317382812, -25.401763916015625, -39.213623046875, -15.334136962890625, -54.383758544921875, -31.6171875, -21.912109375, -57.27349853515625, -36.90869140625, -13.7001953125, -35.265350341796875, -23.986328125, -14.421630859375, -14.4755859375]","[-29.137451171875, -40.57275390625, -46.08203125, -18.5107421875, -37.173828125, -53.97698974609375, -17.2578125, -50.62890625, -28.45068359375, -49.42076110839844, -40.5367431640625, -54.16796875, -36.6580810546875, -73.04153442382812, -39.15625, -31.6484375, -77.06243896484375, -39.85748291015625, -16.953125, -39.88531494140625, -31.7119140625, -32.7451171875, -47.611328125]","My wife and I went on our honeymoon about three month ago. It was a road trip visiting various cities and amusement parks. We chose this because we both love rollercoasters and it fit our budget. We were both very excited about it. In total, we visited 5 parks and 3 major cities. We were supposed to visit 6 parks, but one day got rained out and we had to skip it. Our trip started in Ohio. The first park was called holiday world and was in Santa Clause Indiana. Next, we went to Kentucky Kingdom in Louisville, Kentucky. After this, we were supposed to go to Dollywood, but the rain canceled it. Our next park was Carowinds, just outside Charlotte North Carolina. We were there long enough for a day in the park and the city. After this, we went to Kings Dominion in Doswell Virginia. They have a coaster that pulls so many G's everyone blacks out or gets close to it. After a day here, we visited Philadelphia. We spent a night and day in the city. We toured around the sites and ate plenty of Cheesesteaks and Dinic's roasted pork sandwiches. Our final stop was Toronto and Canada's Wonderland just outside the city. We spent three days. This was we made sure to take in as much as the city had to offer. We also stopped on the way there to see Niagara Falls. I had never seen it from the Canadian side. It was way more impressive than from the American side.",324G5B4FB4UT0JVPOCKYG69DUP1072,324G5B4FB4UT0JVPOCKYG69DUP1072,recalled
9,3ZOTGHDK5JX0MY70E0KK1Y1RH1POSQ,0.240315702632172,"[-0.31328125, -0.30118052164713544, 0.9060872395833334, 0.12385050455729167, -0.12244059244791666, 0.35299479166666664, 0.6807406390154803, 0.8632354736328125, -0.22576823987458883, 0.0630340576171875, 0.3495822482638889, -0.025111607142857144, 0.15519205729166666, 0.2018310546875, 0.20633297874813988, 0.8267608642578125, 0.34350724653764203]","[-16.78515625, -19.474945068359375, -10.9873046875, -41.4127197265625, -33.16473388671875, -35.388671875, -81.50867462158203, -61.92597961425781, -50.44964599609375, -55.73384094238281, -37.49658203125, -46.2412109375, -47.0955810546875, -66.5142822265625, -50.22636413574219, -33.30096435546875, -14.313705444335938]","[-15.21875, -15.86077880859375, -16.423828125, -44.3851318359375, -31.328125, -40.68359375, -99.888671875, -82.64363098144531, -46.16004943847656, -57.435760498046875, -43.7890625, -45.7138671875, -50.8201904296875, -73.578369140625, -54.559356689453125, -49.836181640625, -18.09228515625]","My heart is utterly broken. Two months ago in May, my sister-in-law passed away. It was sudden and very tragic. She was driving home from work in the rain when she lost control of her car and get into an accident on the interstate. It feels like I was just talking to her and planning our next get together. We'd planned to go to a concert with my brother and sister in July. I didn't like the artist that we were going see, but it was for her birthday that we'd missed doing something for in February. She had been waiting to go that concert for years but hadn't been able to because our work schedules didn't line up. I considered my sister-in-law as much one of my actual siblings as my brother and sister are. She'd been there for my wife and I through some hard times and was always willing to lend a hand to help us with the children. I can't believe that she's gone and I know that it's tougher on my wife. This is a very tragic time for both of our families, because she was really a light in our lives. My family is pulling through as best we can and are making sure that we are there for each other in this trying time. The funeral was difficult, but it was attended by so many people and my sister-in-law would've really been happy to know how many lives she touched when she was still here. I think that if anything good can come out of this is that we'll be more of a bonded family. We know that's what she would've wanted us to do and we'll honor her in this way. But I don't think I'll ever stop missing her.",,324G5B4FB4UT0JVPOCKYG69DW6870G,imagined
