,AssignmentId,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,story,recAgnPairId,recImgPairId,memType
0,32UTUBMZ7HIWVWZV4QK361LZ7B2VB8,0.30069187240827666,"[-0.0699907449575571, 0.5920419692993164, -0.17946381039089626, 0.3930702209472656, -0.15566040919377253, -0.003711901212993421, 1.2953125, 0.12626900672912597, 0.21041666666666667, 0.5051713423295454, 0.5222783088684082, 0.29008960723876953, 0.8746473524305556, 0.020399358537462022, -0.0870675751657197, 0.47726806640625]","[-68.28058624267578, -43.27355194091797, -32.386375427246094, -48.05292510986328, -125.21565341949463, -103.77365112304688, -32.8046875, -103.2113265991211, -76.401123046875, -97.3792724609375, -92.70529174804688, -125.44582748413086, -60.54931640625, -89.43982696533203, -138.46759033203125, -64.4451904296875]","[-66.4608268737793, -52.74622344970703, -29.15602684020996, -56.700469970703125, -119.1448974609375, -103.63259887695312, -45.7578125, -108.26208686828613, -82.713623046875, -114.0499267578125, -109.41819763183594, -139.3701286315918, -76.29296875, -89.9906096458435, -135.5943603515625, -76.37689208984375]","I've read the full four book lonesome dove series and I consider it to be among the finest of the great western classics. I've also seen the numerous depictions in film of McMurtry's stories. I first discovered the adventures of Call and McCrae in my freshman year of high school. My new girlfriend at the time (who considered herself a bit of a cowgirl) was obsessed with the series. She wasn't exaggerating to say she'd tried her hand at being a cowboy; she once joined an old fashioned cattle drive that took a herd of livestock from idaho to montana by horse. She was so taken by the series and it's characters that she even had her bicep tattooed with a full half-sleeve of McCrae rearing back on a horse. It was quite good work and I was quite jealous. I wouldn't mind going back to visit some of the timeless characters in those novels, they really do hold up in their unflinching depiction of the old american west, blemishes and all. Some of the most profound things I took from the stories were the details surrounding the cultures of the various native american tribes the cowboys encounter along the journeys. It's very interesting to know how the comanches and apaches were so desperately feared, and some other tribes simply were not as their way of life was much different. It also doesn't surprise me that plains native americans would be so tough and willing to fight to defend themselves given the overall harsh environment of north and west texas. One of the most striking moments in the series is when the long time adversary of Call and McCrae, the former chief of the comanches, is on his death-bed and seeks a personal journey to die alone and apart from his tribe. The cowboys have fought him for decades and want nothing but vengeance but they never get it. Instead the reader is treated to a profound moment of acceptance from an incredibly strong-willed man as he ushers himself from his world. It is truly one of my favorite books and having grown up in Texas, I some sense of pride imagining that events as romantic if at time brutal  probably took place. It makes me feel at the very least that Texas is as unique a state as we Texans would like to believe and often proclaim.",,30X31N5D64CBKUDZ4HF203HMQFJASZ,imagined
1,3QEMNNSB2YLNZ3WJ0O8TVDTXERTD79,0.511580785455624,"[-0.07699819711538461, -0.08253987630208333, 0.3730011547313017, 1.1336903852574967, 0.8907063802083334, 0.6042643229166667, 0.4516754150390625, 0.3119419642857143, 0.6897608439127604, 0.4009765625, 0.6935628255208334, 0.4000462123325893, 0.671142578125, 0.7466517857142857, 0.6122470431857638, 0.36809730529785156, 0.5086466471354166]","[-21.69287109375, -37.469482421875, -11.117327690124512, -25.92707920074463, -25.192626953125, -37.430908203125, -75.7545166015625, -23.521484375, -16.71185302734375, -65.7080078125, -46.6923828125, -38.35797119140625, -33.97705078125, -27.3828125, -24.322967529296875, -58.481414794921875, -35.4931640625]","[-20.69189453125, -36.47900390625, -17.45834732055664, -45.19981575012207, -33.208984375, -46.494873046875, -86.5947265625, -25.705078125, -24.988983154296875, -71.72265625, -55.01513671875, -43.9586181640625, -40.6884765625, -32.609375, -29.83319091796875, -64.3709716796875, -41.596923828125]","I finished a book I have been reading for the last few days.  It was a western which is outside of my normal book choices.  It was titled ""Lonesome Dove"" and was written by Larry McMurtry.   ""Lonesome Dove"" is the name of a near ghost town in south Texas.  The two main characters are Gus and McCall.  They are aging ex-Texas Rangers that decide to go on one last adventure.  They decide to steal some cattle from Mexico and start a ranch in the northern U.S.  I think it as Montana.  The book had very rich character development.  There were good guys, bad guys, and in-between guys.  On of the major villains is the a really bad guy name ""Blue Duck"".  One of the in-between is a girl/woman named Lori.  She is a ""lady of the night"" but sweet just the same.  Gus and McCall are kind of the good guys.  The scenery and imagery are very rich.  It is very colorful in terms of the language.  You need to remember this book and maybe get other books written by McMurtry.  I really miss this book -- it seemed like an old friend.",30X31N5D64CBKUDZ4HF203HMQFJASZ,,retold
2,30X31N5D64CBKUDZ4HF203HMQFJASZ,0.5267108897869742,"[-0.12033358487215909, 0.6032541063096788, 0.33179292224702384, 1.7431793212890625, 0.389443657614968, 1.5217978737571023, 0.3439790937635634, 0.22156575520833333, 0.169146728515625, 1.581568377358573, 0.2085243507667824, -0.21636390686035156, 0.10074869791666667, 0.27914844859730115, 0.393035888671875, 0.47484420327579274, 0.6799819048713235, 0.775482177734375]","[-53.3076171875, -46.92115020751953, -69.1776123046875, -17.416412353515625, -39.79695129394531, -44.50946044921875, -55.809261322021484, -43.426513671875, -42.819580078125, -33.69415283203125, -59.154937744140625, -25.836074829101562, -31.017578125, -30.245071411132812, -43.7864990234375, -90.86619186401367, -59.593994140625, -31.292236328125]","[-50.6602783203125, -57.77972412109375, -76.145263671875, -27.87548828125, -48.36471176147461, -77.989013671875, -62.000885009765625, -46.75, -46.2025146484375, -55.83611011505127, -64.78509521484375, -23.239707946777344, -32.2265625, -33.315704345703125, -48.5029296875, -107.01089477539062, -82.71337890625, -37.49609375]","I know it may sound silly but it was quite emotional to finish what I now consider to be my favorite book.  It is difficult to even come up with a single favorite book but I did in this case. I liked it so much , maybe because at 59, I am aging and related well to the characters.  I am also a Texan.  Lonesome Dove is about two aging ex-Texas Rangers that feel the need to have one last great adventure.  This last adventure takes the form of a cattle drive from south Texas north to Montana (if memory serves me well).  There are many other characters involved with different backgrounds that could very well have books of their own.  The adventures abound and there really isn't a dull moment in the entire book.  Larry McMurtry excels at character development to the point that I felt as though I knew them.  He also excels at plots and sub-plots that are very compelling. While it isn't ""War and Peace"" long, it is a rather long book but I wished it was longer when I finished it.  I was very sad when I finished reading Lonesome Dove.  It was like losing a playmate, maybe even a friend.  I wondered what I was going to do for reading next.  I ended up researching similar books written by Larry McMurtry.  I did find other similar books that were written about the western United State at around the same time period but it just didn't match the colorful characters in Lonesome Dove. Maybe it was because I was born in the panhandle of Texas, my dad was a real cowboy and I could relate better to many of the things mentioned in the book.  As such the others paled in comparison.",30X31N5D64CBKUDZ4HF203HMQFJASZ,30X31N5D64CBKUDZ4HF203HMQFJASZ,recalled
3,33JKGHPFYDGF6IUJTOOLA02GPM3MNS,0.4262206011979564,"[-0.21351706981658936, 0.8816805752840909, 0.5647940635681152, 0.4158799913194444, 0.17741875899465462, 0.2315951260653409, 0.4559526796694155, 0.5068233891537315, 0.4091217041015625, 0.683211616847826, 0.1993255615234375, 0.19062728881835939, 0.1295458984375, 0.9014820772058824, 0.6643470764160156, 0.5033528945025276, 0.7430419921875, 0.07266395970394737, 0.5808438387784091]","[-45.468308448791504, -23.25390625, -71.49162292480469, -37.56884765625, -71.05966186523438, -47.66455078125, -69.54071044921875, -70.18727111816406, -42.9927978515625, -32.95703125, -53.192108154296875, -19.940597534179688, -66.413330078125, -30.11328125, -67.34309387207031, -31.8939208984375, -45.781494140625, -42.3134765625, -55.654052734375]","[-39.91686463356018, -32.952392578125, -89.56503295898438, -45.0546875, -77.80157470703125, -52.7596435546875, -81.85143280029297, -89.44655990600586, -51.17523193359375, -48.6708984375, -59.171875, -21.84687042236328, -69.6519775390625, -45.4384765625, -90.59524154663086, -40.45092010498047, -59.15625, -43.694091796875, -68.4326171875]","About 6 months ago, I decided to learn more about the art of food foraging and how it could be beneficial to me. I started by searching the internet for anything I could find. I was surprised at how much you could learn and how complex it could be but I didn't let it scare me; I continued in my quest to learn more. I was intrigued by just how many wild foods there were out there available for us to eat. It made me realize that people aren't using the natural resources we have and that there are a lot of things that are going to waste just because we don't know it's available to us. After a week of doing extensive research, I decided to go on a hunt and see exactly what I could find. I drove about an hour away to a location that was plentiful of forest and wildlife that I thought would suit me for my foraging needs. As I walked through the woods, I stumbled upon things I had not recognized from my research, so I had to use my best judgement about whether or not this was something that could be edible. I found a patch of wild berries that looked good so I decided to try my luck and eat one. They were very sweet and did not have a bitter taste, so I ate a few more before continuing on my way. Further on my travels, I saw some wild plants so I decided to pick them and take them home with me to see what I could do with them. This was turning out to be quite the interesting adventure. I heard a rustling noise behind me so I abruptly looked over my shoulder and realized that I had entered someone else's territory. Instead of seeing a person like I expected, I saw a beautiful deer standing behind me. It didn't run away like I thought, but just looked at me inquisitively, stopped to take in the sights and smells of nature, and then slowly walked away. At that moment, I thought to myself, people and animals aren't all that different. We are all here for the same reason; survival and to try and protect what is ours. As it started getting dark, I figured it was time to pack up and take my findings home. My stomach was feeling a little bit queasy and I was hoping it wasn't the berries I ate from earlier!",,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,imagined
4,3PQ8K71NHY67KYR5NHTBF3NG8C4AA5,0.5447332567133915,"[-0.1449652777777778, 0.6055636935763888, 0.0947409237132353, 0.7839413597470238, 0.22973515437199518, 0.9245793269230769, 0.4008144802517361, 0.3627978515625, 0.6635485197368421, 0.5184215198863636, 0.4489681846217105, 1.1514756944444444, 1.0639629364013672, 0.8953508649553571, 0.2770182291666667, 0.4397786458333333]","[-36.42578125, -37.567626953125, -38.182373046875, -47.668212890625, -72.30520629882812, -33.515625, -46.88385009765625, -57.2025146484375, -64.9765625, -64.201416015625, -28.637039184570312, -16.98828125, -40.1959228515625, -34.3055419921875, -40.650390625, -28.525390625]","[-35.12109375, -48.4677734375, -39.79296875, -64.1309814453125, -78.2783203125, -45.53515625, -54.0985107421875, -66.2724609375, -77.583984375, -75.606689453125, -37.16743469238281, -27.3515625, -57.219329833984375, -46.8404541015625, -45.63671875, -33.802734375]","I have stumbled across something new to me lately. Foraging for food in the landscape around me is a real thing and I can do it. I started thinking about the plants around me when I saw a foraging video on YouTube. A teacher was showing students about all of the edible plants in a park that happens to be near my house. I was interested in the video as I have alot of experience with gardening and it dawned upon me that I could do this too. I started looking up plants online and watching other videos about plant identification. I started slowly by looking for one single type of plant and trying to identify it multiple times. After I was confident that I could identify the plant, I ate a couple of leaves just to test out the effects of it. I would wait a day and when nothing happened negative, I became more confident in my id's. I ate more the next time and continued to find out as much as I could about the plants habitat and features. Immersing myself in one plant at a time has been a great way to expand my knowledge. Now I can identify many plants in my area. I know the leaves, fruits, colors and features of a number of edible plants. This has given me a food source other than buying food from the grocery. It's amazing to see something all around you that was always there but you never saw before. I am very glad to have stumbled upon this field of knowledge.",31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,,retold
5,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,0.7962480828954981,"[-0.0009789100060096155, 1.2394670758928572, 0.3370574951171875, 0.48358735584077384, 0.05433238636363636, 0.7359619140625, 0.017408098493303572, 0.6110026041666666, 1.3697265625, 0.45969332181490385, 0.06962446732954546, 1.39296875, 3.4677734375, 1.1802419026692708, 0.865234375, 0.4568684895833333]","[-24.455810546875, -10.12841796875, -31.5888671875, -57.33221435546875, -29.0, -21.28662109375, -65.32696533203125, -31.6376953125, -28.614990234375, -23.440673828125, -43.275146484375, -12.30859375, -11.61328125, -25.05023193359375, -11.4375, -19.138671875]","[-24.443084716796875, -18.8046875, -38.33001708984375, -67.487548828125, -29.59765625, -28.646240234375, -65.69253540039062, -38.9697265625, -42.312255859375, -29.41668701171875, -44.041015625, -19.2734375, -25.484375, -39.213134765625, -16.62890625, -23.25048828125]","About 6 months ago I learned how to forage for food. It has been an eye opening experience. I had no idea that there was so much food all around us that we simply pass by every day. It is kind of shocking to learn that there is so much plenty all around and yet we live in deprivation. I learned about it after I watched a video on it. It really opened my eyes and showed me something new. I did a bunch of reading and research which prepared me to go into the parks around me and find things. There is lots of food in the local parks in big cities. There is even stuff growing in the sidewalk planters. Things we call ""weeds"" are actually nutritious and delicious plants. I have grown alot since I woke up to all this. My horizons have expanded. My consciousness has increased. My self-reliance and self-trust has gone up. It has been a great experience. I would not trade what I learned for anything.",31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,recalled
6,3DI28L7YXB0EGNVH73240LK4LCA1E7,0.5942064582266724,"[0.15283203125, 0.17411723889802633, 0.40486297607421873, 0.030843098958333332, 1.1978672572544642, 0.22117262620192307, 0.48410797119140625, 0.016320228576660156, 0.5386538298233695, 0.1206088595920139, 0.2731045809659091, 0.3932906441066576, 0.6687347412109375, 0.9599609375, 2.64111328125, 1.52392578125, 0.29999370574951173]","[-9.5078125, -42.2227783203125, -47.585601806640625, -69.309814453125, -31.2171630859375, -26.258544921875, -40.4600830078125, -32.62492370605469, -45.0323486328125, -63.07940673828125, -41.710693359375, -55.94158935546875, -22.614349365234375, -12.34765625, -4.248046875, -12.224609375, -31.62714385986328]","[-10.119140625, -45.531005859375, -55.682861328125, -70.142578125, -47.9873046875, -29.1337890625, -54.015106201171875, -32.88604736328125, -57.42138671875, -65.2503662109375, -47.718994140625, -64.98727416992188, -29.30169677734375, -16.1875, -14.8125, -18.3203125, -37.627017974853516]","Our honeymoon was fantastic. It was not your typical honeymoon, we spent our honeymoon acting like kids, and it was great. We spent a large majority of our time riding our favorite rides, and just pretending we were children again. We decided on our first honeymoon trip was  going to Six Flags in Atlanta, Georgia, since it was where we had our first date. We rode almost all of the rides, and re-lived our first date. After Six flags, we went to Disney world in Orlando, Florida. It was our first time there, and we were a bit overwhelmed with all of the rides and activities there, but we had a great time. While in Orlando, we stumbled upon another theme park, which was a water park. To be honest, we had more fun at the water park than we did at Orlando, we were there for hours! Our next and last trip was in Chattanooga Tennessee, where we stumbled upon two other theme parks. One was definitely one of the smallest ones we have been to, but it had a lot of charm to it. The last one we went to, was a very massive one, almost the size of the Disney world one in Orlando. I think our last theme park was the best one. The rides were fantastic. The food was amazing. The prices were reasonable. After it was all said and done, we were very happy with our decisions and had a fantastic time.",,324G5B4FB4UT0JVPOCKYG69DUP1072,imagined
7,30X31N5D64CBKUDZ4HF203HNG3USAW,0.867218501618094,"[-0.22993607954545456, 1.2077544362921464, -0.0316613515218099, 0.35365833955652576, 2.280517578125, 0.8084952614524148, 1.5190620422363281, 1.742431640625, 2.0963116685549417, 0.5943359375, 0.5904181985294118, 1.11328125, 0.41525314331054686, 0.7858462126358695, 1.705078125, 0.3817914326985677, 0.5448644301470589, 0.47943446947180707, 0.35894557407924105, 0.6284877232142857]","[-19.10009765625, -14.214775085449219, -66.04850769042969, -45.34822082519531, -12.177001953125, -49.74711799621582, -20.685150146484375, -16.205078125, -18.3051974773407, -34.26513671875, -34.7138671875, -25.57470703125, -52.64674758911133, -40.0374755859375, -9.6171875, -38.95195007324219, -52.6005859375, -48.45567321777344, -37.2154541015625, -44.8896484375]","[-16.57080078125, -37.162109375, -65.28863525390625, -51.36041259765625, -28.140625, -67.53401374816895, -32.837646484375, -30.14453125, -43.4609375, -46.15185546875, -44.7509765625, -43.38720703125, -63.028076171875, -58.1119384765625, -16.4375, -43.533447265625, -61.86328125, -59.482666015625, -42.240692138671875, -53.6884765625]","My wife and I were married in October 2018. However, because of our schedules, we couldn't go on our honeymoon until June 2019. Prior to the honeymoon I had some very important work due, and I was really looking forward to the time to have fun. We both love theme parks, and so our honeymoon was to visit six new theme parks. We started at Holiday World in Indiana. They had amazing roller coasters, including one named Voyage, that is now in my top five of all time. They also had tons of great water rides. After that, we went to Kentucky Kingdom. It was a small park, but had some nice coasters. Unfortunately, it was 100 degrees and humid, and for some reason the water park wasn't open. Because of this, we left really early to get to our next destination, Dollywood. Sadly, we had to cancel the visit to Dollywood because of a huge storm. Instead, we continued on to Carowinds, and got to ride Fury 325, which is now my second favorite coaster. We spent two days in Charlotte, where Carowinds is, and then headed to Virginia to go to Kings Dominion. The park was amazing. We both loved intimidator 305 and Twisted Timbers. After this, we headed to Philadelphia to enjoy the city itself, with no theme parks. Our final stop was in Toronto, where we enjoyed the city, and a great theme park, called Canada's Wonderland. The most memorable part of the Honeymoon was probably the first park. It was so good and we had the rush of the vacation just beginning.",324G5B4FB4UT0JVPOCKYG69DUP1072,,retold
8,324G5B4FB4UT0JVPOCKYG69DUP1072,0.8965949859623212,"[0.15106201171875, 1.4405462091619319, 0.8530110677083333, 0.7603236607142857, 0.37582632211538464, 0.9905906157060103, 0.66171875, 0.38296274038461536, 1.4814453125, 0.7382839427274817, 1.0070213904747596, 0.9478846958705357, 0.6726430257161459, 0.9909210205078125, -0.00830078125, 1.3446180555555556, 0.6161895751953125, 0.2649348332331731, 1.21630859375, 0.19971752166748047, 0.5753728693181818, 2.057773166232639, 2.900830078125]","[-27.32470703125, -24.72674560546875, -33.286865234375, -13.1884765625, -32.2880859375, -32.18399620056152, -13.94921875, -45.650390625, -12.15478515625, -36.86993408203125, -27.445465087890625, -40.8975830078125, -28.58636474609375, -55.2049560546875, -39.22265625, -19.546875, -64.7386474609375, -36.413330078125, -12.087890625, -36.68983459472656, -25.3828125, -14.22515869140625, -18.60302734375]","[-29.137451171875, -40.57275390625, -46.08203125, -18.5107421875, -37.173828125, -53.97698974609375, -17.2578125, -50.62890625, -28.45068359375, -49.42076110839844, -40.5367431640625, -54.16796875, -36.6580810546875, -73.04153442382812, -39.15625, -31.6484375, -77.06243896484375, -39.85748291015625, -16.953125, -39.88531494140625, -31.7119140625, -32.7451171875, -47.611328125]","My wife and I went on our honeymoon about three month ago. It was a road trip visiting various cities and amusement parks. We chose this because we both love rollercoasters and it fit our budget. We were both very excited about it. In total, we visited 5 parks and 3 major cities. We were supposed to visit 6 parks, but one day got rained out and we had to skip it. Our trip started in Ohio. The first park was called holiday world and was in Santa Clause Indiana. Next, we went to Kentucky Kingdom in Louisville, Kentucky. After this, we were supposed to go to Dollywood, but the rain canceled it. Our next park was Carowinds, just outside Charlotte North Carolina. We were there long enough for a day in the park and the city. After this, we went to Kings Dominion in Doswell Virginia. They have a coaster that pulls so many G's everyone blacks out or gets close to it. After a day here, we visited Philadelphia. We spent a night and day in the city. We toured around the sites and ate plenty of Cheesesteaks and Dinic's roasted pork sandwiches. Our final stop was Toronto and Canada's Wonderland just outside the city. We spent three days. This was we made sure to take in as much as the city had to offer. We also stopped on the way there to see Niagara Falls. I had never seen it from the Canadian side. It was way more impressive than from the American side.",324G5B4FB4UT0JVPOCKYG69DUP1072,324G5B4FB4UT0JVPOCKYG69DUP1072,recalled
9,3ZOTGHDK5JX0MY70E0KK1Y1RH1POSQ,0.20529222638842876,"[-0.31328125, -0.30118052164713544, 0.80078125, 0.0381011962890625, -0.0620361328125, 0.4161458333333333, 0.7016539397063078, 0.8460550308227539, -0.34523331491570725, -0.09855199743200231, 0.4712592230902778, 0.02492559523809524, 0.1340204874674479, 0.11857713971819196, 0.025171189081101192, 0.84927978515625, 0.1842803955078125]","[-16.78515625, -19.474945068359375, -11.619140625, -43.470703125, -32.2586669921875, -34.44140625, -80.94401550292969, -62.33831024169922, -52.719482421875, -60.09666442871094, -35.306396484375, -45.1904296875, -47.60369873046875, -69.42816925048828, -54.03076171875, -32.8505859375, -16.065200805664062]","[-15.21875, -15.86077880859375, -16.423828125, -44.3851318359375, -31.328125, -40.68359375, -99.888671875, -82.64363098144531, -46.16004943847656, -57.435760498046875, -43.7890625, -45.7138671875, -50.8201904296875, -73.578369140625, -54.559356689453125, -49.836181640625, -18.09228515625]","My heart is utterly broken. Two months ago in May, my sister-in-law passed away. It was sudden and very tragic. She was driving home from work in the rain when she lost control of her car and get into an accident on the interstate. It feels like I was just talking to her and planning our next get together. We'd planned to go to a concert with my brother and sister in July. I didn't like the artist that we were going see, but it was for her birthday that we'd missed doing something for in February. She had been waiting to go that concert for years but hadn't been able to because our work schedules didn't line up. I considered my sister-in-law as much one of my actual siblings as my brother and sister are. She'd been there for my wife and I through some hard times and was always willing to lend a hand to help us with the children. I can't believe that she's gone and I know that it's tougher on my wife. This is a very tragic time for both of our families, because she was really a light in our lives. My family is pulling through as best we can and are making sure that we are there for each other in this trying time. The funeral was difficult, but it was attended by so many people and my sister-in-law would've really been happy to know how many lives she touched when she was still here. I think that if anything good can come out of this is that we'll be more of a bonded family. We know that's what she would've wanted us to do and we'll honor her in this way. But I don't think I'll ever stop missing her.",,324G5B4FB4UT0JVPOCKYG69DW6870G,imagined
